subNb	sessionNb	globalBlockNb	blockType	blockIndexWithinType	backboneTrials	nbTargetsPlanned	trialNbInBlock	baseIndex	origin	direction	isTarget	trialOnset	trialDurationPlanned	stimOnset	stimDurationAchieved	itiPlanned	itiAchieved	stimFrames	itiFrames	keyPressed	RT	outcome	refreshHz	dotLifeFrames	simulateOnly	droppedFramesStim	droppedFramesITI	droppedFramesTrial
999	1	1	tac_down	1	160	16	160	144	actual	finger_to_wrist	0	279.2615	1.6348	279.2615	0.5004	1.1344	1.1343	30	68			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	161	145	actual	wrist_to_finger	0	280.8956	1.9017	280.8956	0.5004	1.4072	1.4012	30	84			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	162	146	actual	pinky_to_thumb	0	282.7953	1.9851	282.7953	0.5004	1.4870	1.4846	30	89			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	163	147	actual	finger_to_wrist	0	284.7785	1.7349	284.7785	0.5004	1.2377	1.2344	30	74			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	164	148	actual	thumb_to_pinky	0	286.5125	1.7015	286.5125	0.5004	1.1933	1.2011	30	72			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	165	149	actual	finger_to_wrist	0	288.2117	1.8516	288.2117	0.5004	1.3507	1.3512	30	81			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	166	150	actual	pinky_to_thumb	0	290.0624	1.8349	290.0624	0.5004	1.3337	1.3345	30	80			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	167	151	actual	thumb_to_pinky	0	291.8951	1.7682	291.8951	0.5004	1.2698	1.2678	30	76			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	168	152	actual	wrist_to_finger	0	293.6620	1.6681	293.6620	0.5004	1.1759	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	169	153	actual	thumb_to_pinky	0	295.3289	1.5013	295.3289	0.5004	1.0057	1.0009	30	60			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	170	154	actual	finger_to_wrist	0	296.8289	1.8183	296.8289	0.5004	1.3231	1.3178	30	79			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	171	155	actual	pinky_to_thumb	0	298.6460	1.8850	298.6460	0.5004	1.3887	1.3845	30	83			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	172	156	actual	wrist_to_finger	0	300.5293	1.9184	300.5293	0.5004	1.4253	1.4179	30	85			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	173	157	actual	pinky_to_thumb	0	302.4457	1.5680	302.4457	0.5004	1.0604	1.0676	30	64			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	174	158	actual	finger_to_wrist	0	304.0124	1.6848	304.0124	0.5004	1.1775	1.1844	30	71			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	175	159	actual	wrist_to_finger	0	305.6956	1.7182	305.6956	0.5004	1.2135	1.2177	30	73			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	176	160	actual	thumb_to_pinky	0	307.4127	1.8349	307.4127	0.5004	1.3427	1.3345	30	80			CORRECT_REJECT	59.947		0	0	0	0
